drug,category,pdb,target,state,diffdock_confidence,gnina_affinity,gnina_minimize_rmsd,gnina_cnn_score,gnina_cnn_affinity
metformin,repurposing_candidate,8FMI,KRAS,WT,-0.1,-4.15061,1.13765,0.5508,3.7663
neratinib,egfr_family,3POZ,EGFR,WT,-0.47,-8.28152,2.62623,0.36592,8.22663
neratinib,egfr_family,4I24,EGFR,T790M,-0.54,-7.88684,1.46309,0.92914,9.04763
neratinib,egfr_family,4LDJ,KRAS,G12C,-2.46,-4.78149,2.73773,0.04665,5.62441
neratinib,egfr_family,5UGC,EGFR,L858R+T790M,-1.18,2.08626,1.86485,0.68503,8.4883
neratinib,egfr_family,6OIM,KRAS,G12C+sotorasib,-2.62,-4.55869,11.90448,0.02616,4.87758
neratinib,egfr_family,8A2B,EGFR,L858R,-0.64,-8.24992,2.91661,0.3859,7.65196
neratinib,egfr_family,8FMI,KRAS,WT,-1.54,-5.82123,1.56805,0.36249,7.23701
osimertinib,known_answer,3POZ,EGFR,WT,-0.66,-6.49206,1.19627,0.77864,8.14645
osimertinib,known_answer,4I24,EGFR,T790M,-0.66,-7.43364,2.17107,0.28362,7.60888
osimertinib,known_answer,4LDJ,KRAS,G12C,-1.55,-4.97617,2.66505,0.02282,5.46384
osimertinib,known_answer,5UGC,EGFR,L858R+T790M,-1.55,-6.23781,3.51198,0.05399,6.45052
osimertinib,known_answer,6OIM,KRAS,G12C+sotorasib,-3.15,-5.96832,7.47864,0.24468,6.50469
osimertinib,known_answer,8A2B,EGFR,L858R,-0.9,-6.44884,2.9789,0.10289,6.74235
osimertinib,known_answer,8FMI,KRAS,WT,-1.68,-5.1324,2.65341,0.04263,5.68851
ponatinib,multi_kinase,3POZ,EGFR,WT,-1.71,-9.01898,3.50976,0.07007,6.39386
ponatinib,multi_kinase,4I24,EGFR,T790M,-2.19,13.3793,3.86531,0.51338,7.44984
ponatinib,multi_kinase,4LDJ,KRAS,G12C,-2.34,-4.18386,1.82097,0.04709,5.01499
ponatinib,multi_kinase,5UGC,EGFR,L858R+T790M,-2.92,-6.77276,1.46528,0.40018,7.32193
ponatinib,multi_kinase,6OIM,KRAS,G12C+sotorasib,-2.81,22.20585,3.62729,0.79258,7.09786
ponatinib,multi_kinase,8A2B,EGFR,L858R,-0.82,-10.47691,1.88488,0.45094,7.27654
ponatinib,multi_kinase,8FMI,KRAS,WT,-2.04,-5.84069,1.42652,0.05904,5.00109
propranolol,repurposing_candidate,3POZ,EGFR,WT,-0.43,-7.71235,1.41436,0.49127,5.36401
propranolol,repurposing_candidate,4I24,EGFR,T790M,-0.43,-7.02991,1.55237,0.36583,4.54282
propranolol,repurposing_candidate,4LDJ,KRAS,G12C,-1.26,-4.78758,5.23714,0.16749,2.90542
propranolol,repurposing_candidate,5UGC,EGFR,L858R+T790M,-0.95,-7.34605,1.57571,0.33812,4.81084
propranolol,repurposing_candidate,6OIM,KRAS,G12C+sotorasib,-3.62,-4.79816,4.4403,0.38878,3.6662
propranolol,repurposing_candidate,8A2B,EGFR,L858R,-0.7,-6.46776,0.83056,0.38165,5.11591
propranolol,repurposing_candidate,8FMI,KRAS,WT,-1.19,-5.48778,1.58069,0.49336,3.97722
simvastatin,repurposing_candidate,3POZ,EGFR,WT,-1.56,-7.21553,1.4243,0.07094,5.15689
simvastatin,repurposing_candidate,4I24,EGFR,T790M,-2.09,5.04762,2.88382,0.31785,6.23834
simvastatin,repurposing_candidate,4LDJ,KRAS,G12C,-2.65,-4.94533,3.36395,0.14167,4.66131
simvastatin,repurposing_candidate,5UGC,EGFR,L858R+T790M,-1.32,-6.01859,2.52908,0.27086,6.01176
simvastatin,repurposing_candidate,6OIM,KRAS,G12C+sotorasib,-3.7,-2.41242,5.53473,0.18007,4.77854
simvastatin,repurposing_candidate,8A2B,EGFR,L858R,-1.6,-6.77368,1.8446,0.12956,5.11872
simvastatin,repurposing_candidate,8FMI,KRAS,WT,-1.34,-6.17901,1.91353,0.14918,5.85275
sorafenib,multi_kinase,3POZ,EGFR,WT,-1.57,-10.14589,4.57283,0.26191,6.81943
sorafenib,multi_kinase,4I24,EGFR,T790M,-1.54,-5.0605,1.64911,0.20142,6.7454
sorafenib,multi_kinase,4LDJ,KRAS,G12C,-2.42,-6.1984,2.3951,0.63786,5.90445
sorafenib,multi_kinase,5UGC,EGFR,L858R+T790M,-1.05,-0.8222,1.3346,0.89681,7.67381
sorafenib,multi_kinase,6OIM,KRAS,G12C+sotorasib,-2.8,16.70835,4.4656,0.51155,5.66889
sorafenib,multi_kinase,8A2B,EGFR,L858R,-0.52,-9.8332,1.45748,0.83503,7.22228
sorafenib,multi_kinase,8FMI,KRAS,WT,-1.03,-6.89184,2.26547,0.1695,5.41056
sotorasib,known_answer,3POZ,EGFR,WT,-1.38,-6.88414,2.47412,0.14805,7.63366
sotorasib,known_answer,4I24,EGFR,T790M,-2.18,1.47822,1.28768,0.22016,7.39248
sotorasib,known_answer,4LDJ,KRAS,G12C,-3.3,-6.49713,2.45177,0.25185,6.3061
sotorasib,known_answer,5UGC,EGFR,L858R+T790M,-1.74,-4.50298,2.97572,0.02202,7.08422
sotorasib,known_answer,6OIM,KRAS,G12C+sotorasib,-2.82,-5.55145,1.88834,0.01578,5.68531
sotorasib,known_answer,8A2B,EGFR,L858R,-2.18,-2.42742,1.83769,0.05503,6.51155
sotorasib,known_answer,8FMI,KRAS,WT,-2.59,-7.03818,1.96722,0.76422,7.90821
sunitinib,multi_kinase,3POZ,EGFR,WT,-0.75,-8.73834,1.08016,0.28101,6.89414
sunitinib,multi_kinase,4I24,EGFR,T790M,-0.62,-7.5886,1.36632,0.83537,7.00635
sunitinib,multi_kinase,4LDJ,KRAS,G12C,-1.37,-5.19962,1.94822,0.62638,6.23589
sunitinib,multi_kinase,5UGC,EGFR,L858R+T790M,-0.62,-7.63948,1.88592,0.6152,6.97298
sunitinib,multi_kinase,6OIM,KRAS,G12C+sotorasib,-4.04,-4.40877,9.97778,0.36849,6.0524
sunitinib,multi_kinase,8A2B,EGFR,L858R,-0.71,-6.0186,1.6979,0.34195,6.44962
sunitinib,multi_kinase,8FMI,KRAS,WT,-1.47,-6.37187,1.89596,0.65558,6.12489
thalidomide,repurposing_candidate,3POZ,EGFR,WT,-0.47,-7.3695,1.39233,0.86474,5.72845
thalidomide,repurposing_candidate,4I24,EGFR,T790M,0.36,-6.55928,0.93119,0.77786,5.36498
thalidomide,repurposing_candidate,4LDJ,KRAS,G12C,-0.62,-4.85026,1.78858,0.56211,4.4976
thalidomide,repurposing_candidate,5UGC,EGFR,L858R+T790M,0.2,-7.07714,1.68561,0.71703,5.73105
thalidomide,repurposing_candidate,6OIM,KRAS,G12C+sotorasib,-4.36,-3.90383,5.60839,0.41759,4.31968
thalidomide,repurposing_candidate,8A2B,EGFR,L858R,0.07,-6.60378,1.45167,0.5638,5.32331
thalidomide,repurposing_candidate,8FMI,KRAS,WT,-0.56,-6.48811,1.01984,0.63736,4.24847
vandetanib,egfr_family,3POZ,EGFR,WT,-0.98,-8.4497,2.09821,0.21617,6.95131
vandetanib,egfr_family,4I24,EGFR,T790M,0.1,-8.54438,1.1886,0.90638,7.66333
vandetanib,egfr_family,4LDJ,KRAS,G12C,-1.23,-6.94627,2.33266,0.43887,6.81398
vandetanib,egfr_family,5UGC,EGFR,L858R+T790M,-1.45,-5.61758,5.95886,0.16431,5.80897
vandetanib,egfr_family,6OIM,KRAS,G12C+sotorasib,-1.93,-6.18521,1.82596,0.11592,5.82804
vandetanib,egfr_family,8A2B,EGFR,L858R,0.05,-8.32657,0.72688,0.96527,7.52733
vandetanib,egfr_family,8FMI,KRAS,WT,-0.93,-5.98098,1.21282,0.48453,6.05325
verapamil,repurposing_candidate,3POZ,EGFR,WT,-0.86,-7.21216,0.99605,0.84598,7.8299
verapamil,repurposing_candidate,4I24,EGFR,T790M,-1.91,-2.50689,1.70511,0.16776,6.65809
verapamil,repurposing_candidate,4LDJ,KRAS,G12C,-3.32,-3.99812,2.66265,0.3055,5.04412
verapamil,repurposing_candidate,5UGC,EGFR,L858R+T790M,-2.67,-5.58698,2.67967,0.15527,6.01153
verapamil,repurposing_candidate,6OIM,KRAS,G12C+sotorasib,-4.68,12.27212,5.14606,0.36588,5.60869
verapamil,repurposing_candidate,8A2B,EGFR,L858R,-1.45,-7.00179,1.91612,0.19197,6.22583
verapamil,repurposing_candidate,8FMI,KRAS,WT,-3.77,-4.5721,2.13251,0.06254,4.14028
