rep,drug,category,pdb,target,state,diffdock_confidence,gnina_affinity,gnina_minimize_rmsd,gnina_cnn_score,gnina_cnn_affinity
1,erlotinib,known_answer,4I24,EGFR,T790M,-0.17,-7.0175,0.89802,0.66853,6.96022
1,erlotinib,known_answer,4LDJ,KRAS,G12C,-2.62,-4.45643,3.13712,0.2928,5.31971
1,erlotinib,known_answer,5UGC,EGFR,L858R+T790M,-1.0,-5.27463,2.24873,0.43305,6.61615
1,erlotinib,known_answer,6OIM,KRAS,G12C+sotorasib,-1.68,-4.58336,3.10612,0.0422,4.53903
1,erlotinib,known_answer,8A2B,EGFR,L858R,-0.61,-6.09471,1.68793,0.84312,6.771
1,erlotinib,known_answer,8FMI,KRAS,WT,-2.28,-6.00961,2.87421,0.08089,5.08006
1,gefitinib,known_answer,3POZ,EGFR,WT,-0.08,-7.76124,0.74354,0.95153,8.12181
1,gefitinib,known_answer,4I24,EGFR,T790M,-0.23,-8.73806,1.05735,0.97449,7.90218
1,gefitinib,known_answer,4LDJ,KRAS,G12C,-1.5,-4.78141,1.68579,0.40408,6.36708
1,gefitinib,known_answer,5UGC,EGFR,L858R+T790M,-1.52,-6.09224,5.40287,0.1477,6.15389
1,gefitinib,known_answer,6OIM,KRAS,G12C+sotorasib,-2.33,-5.9567,2.21531,0.08832,5.50621
1,gefitinib,known_answer,8A2B,EGFR,L858R,-0.57,-6.85641,1.04613,0.94302,7.48769
1,gefitinib,known_answer,8FMI,KRAS,WT,-0.73,-6.14749,1.57832,0.71516,6.82263
1,imatinib,multi_kinase,3POZ,EGFR,WT,-0.93,-8.24369,1.54665,0.24533,7.14357
1,imatinib,multi_kinase,4I24,EGFR,T790M,-0.78,-9.46928,2.16556,0.77026,7.79943
1,imatinib,multi_kinase,4LDJ,KRAS,G12C,-2.17,-5.43975,2.52448,0.06019,5.34192
1,imatinib,multi_kinase,5UGC,EGFR,L858R+T790M,-1.07,-9.36787,5.55999,0.10659,7.27162
1,imatinib,multi_kinase,6OIM,KRAS,G12C+sotorasib,-3.41,-6.78884,3.70204,0.19165,5.90121
1,imatinib,multi_kinase,8A2B,EGFR,L858R,-1.18,-8.29902,2.26224,0.27243,6.89619
1,imatinib,multi_kinase,8FMI,KRAS,WT,-2.03,-7.72432,2.34245,0.37163,6.74101
1,itraconazole,repurposing_candidate,3POZ,EGFR,WT,-1.66,-5.12219,2.96643,0.02346,5.88128
1,itraconazole,repurposing_candidate,4I24,EGFR,T790M,-3.03,-5.23322,1.77301,0.08516,7.03359
1,itraconazole,repurposing_candidate,4LDJ,KRAS,G12C,-1.75,-5.7769,2.64432,0.16135,5.91166
1,itraconazole,repurposing_candidate,5UGC,EGFR,L858R+T790M,-2.45,2.65835,1.66476,0.30612,7.36753
1,itraconazole,repurposing_candidate,6OIM,KRAS,G12C+sotorasib,-3.2,11.15721,6.86367,0.12249,5.79737
1,itraconazole,repurposing_candidate,8A2B,EGFR,L858R,-1.69,-7.99476,1.80012,0.04632,5.64798
1,itraconazole,repurposing_candidate,8FMI,KRAS,WT,-1.89,-5.9548,3.69903,0.10305,5.84493
1,lapatinib,egfr_family,3POZ,EGFR,WT,-0.34,-10.59194,0.91402,0.97825,8.78467
1,lapatinib,egfr_family,4I24,EGFR,T790M,-0.76,-6.4412,1.36629,0.74555,8.24437
1,lapatinib,egfr_family,4LDJ,KRAS,G12C,-1.93,-6.87018,2.18449,0.13822,6.26171
1,lapatinib,egfr_family,5UGC,EGFR,L858R+T790M,-1.57,-0.15645,2.99575,0.66763,8.22484
1,lapatinib,egfr_family,6OIM,KRAS,G12C+sotorasib,-2.38,-6.08,3.43879,0.12362,6.11147
1,lapatinib,egfr_family,8A2B,EGFR,L858R,-0.54,-8.09602,0.67899,0.88418,8.06077
1,lapatinib,egfr_family,8FMI,KRAS,WT,-1.71,-7.07594,1.54243,0.24866,6.63305
