rep,drug,category,pdb,target,state,diffdock_confidence,gnina_affinity,gnina_minimize_rmsd,gnina_cnn_score,gnina_cnn_affinity
1,disulfiram,repurposing_candidate,5UGC,EGFR,L858R+T790M,-1.31,-4.30914,1.59859,0.51172,5.4861
1,divarasib,kras_family,3POZ,EGFR,WT,-1.78,-6.62139,2.83845,0.01803,7.27065
1,divarasib,kras_family,5UGC,EGFR,L858R+T790M,-1.87,6.54627,0.51505,0.42686,8.21161
1,dofetilide,approved_library,3POZ,EGFR,WT,-0.93,-6.39057,3.03076,0.07011,4.96258
1,dofetilide,approved_library,5UGC,EGFR,L858R+T790M,-1.75,2.45844,1.01642,0.09663,4.65894
1,donepezil,approved_library,3POZ,EGFR,WT,-0.18,-9.03494,1.333,0.72641,6.7307
1,donepezil,approved_library,5UGC,EGFR,L858R+T790M,-0.81,-7.45159,1.32397,0.57161,6.78943
1,dopamine,approved_library,3POZ,EGFR,WT,0.09,-5.11846,0.31356,0.6307,3.69014
1,dopamine,approved_library,5UGC,EGFR,L858R+T790M,0.16,-5.83473,0.97839,0.64479,3.84494
1,doxycycline,repurposing_candidate,3POZ,EGFR,WT,-0.22,-8.47295,3.80732,0.12212,4.75021
1,doxycycline,repurposing_candidate,5UGC,EGFR,L858R+T790M,-1.53,-5.68458,5.82377,0.21772,4.30899
1,dronabinol,approved_library,3POZ,EGFR,WT,-0.87,-8.65037,2.07969,0.74179,6.78181
1,dronabinol,approved_library,5UGC,EGFR,L858R+T790M,-1.84,-7.49144,3.07978,0.22132,5.77719
1,emedastine,approved_library,3POZ,EGFR,WT,-0.21,-6.48142,1.36259,0.08012,4.49565
1,emedastine,approved_library,5UGC,EGFR,L858R+T790M,-0.2,-6.54708,1.82106,0.48402,5.95553
1,enalapril,approved_library,3POZ,EGFR,WT,-0.14,-7.25529,0.97386,0.49553,6.35711
1,enalapril,approved_library,5UGC,EGFR,L858R+T790M,-1.33,-5.60151,3.32716,0.24941,5.1824
1,enalaprilat-anhydrous,approved_library,3POZ,EGFR,WT,0.02,-6.98325,1.21261,0.65882,6.2934
1,enalaprilat-anhydrous,approved_library,5UGC,EGFR,L858R+T790M,-1.46,-6.64916,2.49676,0.10376,5.07518
1,epirubicin,approved_library,3POZ,EGFR,WT,-1.11,-9.162,5.3009,0.43231,6.37504
1,epirubicin,approved_library,5UGC,EGFR,L858R+T790M,-1.12,-8.74065,3.95324,0.65868,6.6101
1,ergotamine,approved_library,3POZ,EGFR,WT,-0.37,-6.26081,1.19836,0.11005,6.90597
1,ergotamine,approved_library,5UGC,EGFR,L858R+T790M,-1.8,-10.56619,0.97603,0.34403,7.62519
1,erlotinib,known_answer,3POZ,EGFR,WT,-0.5,-7.09094,1.76072,0.81838,7.26396
1,erlotinib,known_answer,5UGC,EGFR,L858R+T790M,-0.9,-5.2071,2.43481,0.46183,6.71226
1,ethacrynic-acid,approved_library,3POZ,EGFR,WT,-0.22,-6.49262,1.31167,0.4576,5.52876
1,ethacrynic-acid,approved_library,5UGC,EGFR,L858R+T790M,-1.07,-5.94286,3.20242,0.387,5.74998
1,ethoxzolamide,approved_library,3POZ,EGFR,WT,-0.0,-5.88421,0.84895,0.52887,5.17649
1,ethoxzolamide,approved_library,5UGC,EGFR,L858R+T790M,-0.23,-5.41472,1.78888,0.65916,5.03164
1,etidocaine,approved_library,3POZ,EGFR,WT,-0.17,-6.98536,0.73712,0.66589,5.96754
